player_id,player_name_canonical,player_name_norm,last_seen_team_abbrev,first_seen_date,last_seen_date
4711294,Matas Buzelis,matas buzelis,CHI,2025-12-21,2025-12-21
4845367,Stephon Castle,stephon castle,SA,2025-12-20,2025-12-20
4869342,Dyson Daniels,dyson daniels,ATL,2025-12-21,2025-12-21
4869780,Derik Queen,derik queen,NO,2025-12-21,2025-12-21
4871144,Alperen Sengun,alperen sengun,HOU,2025-12-20,2025-12-20
4871145,Josh Giddey,josh giddey,CHI,2025-12-21,2025-12-21
4873138,Ace Bailey,ace bailey,UTAH,2025-12-21,2025-12-21
4898371,Maxime Raynaud,maxime raynaud,SAC,2025-12-21,2025-12-21
4900671,Ajay Mitchell,ajay mitchell,OKC,2025-12-20,2025-12-20
4903027,Cedric Coward,cedric coward,MEM,2025-12-21,2025-12-21
4914336,Shaedon Sharpe,shaedon sharpe,POR,2025-12-21,2025-12-21
5037871,Dylan Harper,dylan harper,SA,2025-12-20,2025-12-20
5041939,Cooper Flagg,cooper flagg,DAL,2025-12-21,2025-12-21
5061575,Kon Knueppel,kon knueppel,CHA,2025-12-21,2025-12-21
5104157,Victor Wembanyama,victor wembanyama,SA,2025-12-20,2025-12-20
5105565,Donovan Clingan,donovan clingan,POR,2025-12-21,2025-12-21
5105623,Kel'el Ware,kelel ware,MIA,2025-12-20,2025-12-20
5112087,Jaylen Wells,jaylen wells,MEM,2025-12-21,2025-12-21
5124612,VJ Edgecombe,vj edgecombe,PHI,2025-12-21,2025-12-21
5144091,Jeremiah Fears,jeremiah fears,NO,2025-12-21,2025-12-21
5160992,Alex Sarr,alex sarr,WSH,2025-12-21,2025-12-21
5174563,Kyshawn George,kyshawn george,WSH,2025-12-21,2025-12-21
2595516,Norman Powell,norman powell,MIA,2025-12-21,2025-12-21
3059319,Andrew Wiggins,andrew wiggins,MIA,2025-12-21,2025-12-21
3062679,Josh Hart,josh hart,NY,2025-12-21,2025-12-21
3102531,Kristaps Porzingis,kristaps porzingis,ATL,2025-12-21,2025-12-21
3134908,Jakob Poeltl,jakob poeltl,TOR,2025-12-21,2025-12-21
3136195,Karl-Anthony Towns,karl anthony towns,NY,2025-12-21,2025-12-21
3147657,Mikal Bridges,mikal bridges,NY,2025-12-21,2025-12-21
3913176,Brandon Ingram,brandon ingram,TOR,2025-12-21,2025-12-21
3934672,Jalen Brunson,jalen brunson,NY,2025-12-21,2025-12-21
3934719,OG Anunoby,og anunoby,NY,2025-12-21,2025-12-21
4066261,Bam Adebayo,bam adebayo,MIA,2025-12-21,2025-12-21
4277905,Trae Young,trae young,ATL,2025-12-21,2025-12-21
4278039,Nickeil Alexander-Walker,nickeil alexander walker,ATL,2025-12-21,2025-12-21
4278067,Nic Claxton,nic claxton,BKN,2025-12-21,2025-12-21
4278104,Michael Porter Jr.,michael porter jr,BKN,2025-12-21,2025-12-21
4395651,Coby White,coby white,CHI,2025-12-21,2025-12-21
4395724,Immanuel Quickley,immanuel quickley,TOR,2025-12-21,2025-12-21
4395725,Tyler Herro,tyler herro,MIA,2025-12-21,2025-12-21
4397002,Ayo Dosunmu,ayo dosunmu,CHI,2025-12-21,2025-12-21
4432848,Jaime Jaquez Jr.,jaime jaquez jr,MIA,2025-12-21,2025-12-21
4433134,Scottie Barnes,scottie barnes,TOR,2025-12-21,2025-12-21
4701230,Jalen Johnson,jalen johnson,ATL,2025-12-21,2025-12-21
4711294,Matas Buzelis,matas buzelis,CHI,2025-12-21,2025-12-21
4869342,Dyson Daniels,dyson daniels,ATL,2025-12-21,2025-12-21
4871145,Josh Giddey,josh giddey,CHI,2025-12-21,2025-12-21
5105623,Kel'el Ware,kelel ware,MIA,2025-12-21,2025-12-21
6478,Nikola Vucevic,nikola vucevic,CHI,2025-12-21,2025-12-21
